"","from_id","travel_time1","travel_time2","travel_time3","travel_time4","travel_time5","travel_time6","travel_time7","average"
"1","42017100206",140,143,165,160,150,155,134,149.571428571429
"2","42091205700",106,101,96,95,121,98,109,103.714285714286
"3","42091203601",116,111,106,101,91,96,121,106
"4","42091202602",115,110,105,100,142,98,120,112.857142857143
"5","42091201100",148,143,138,133,162,130,153,143.857142857143
"6","42091204101",109,126,123,118,108,113,111,115.428571428571
"7","42045402900",130,125,120,115,105,110,135,120
"8","42045403104",85,80,75,70,102,67,90,81.2857142857143
"9","42045400700",76,75,73,71,74,72,79,74.2857142857143
"10","42101001500",36,39,34,34,30,35,33,34.4285714285714
"11","42101001800",42,43,44,40,45,39,44,42.4285714285714
"12","42101002802",37,32,27,27,39,40,42,34.8571428571429
"13","42101004001",23,28,27,22,28,21,24,24.7142857142857
"14","42101006300",44,49,45,43,45,48,45,45.5714285714286
"15","42101007700",25,24,29,25,29,24,29,26.4285714285714
"16","42101008701",41,45,45,41,43,41,44,42.8571428571429
"17","42101011000",44,43,42,38,41,38,45,41.5714285714286
"18","42101011500",68,63,58,53,65,53,54,59.1428571428571
"19","42101014000",40,40,40,37,34,35,40,38
"20","42101016500",48,48,48,51,46,50,40,47.2857142857143
"21","42101017202",46,63,60,55,48,50,48,52.8571428571429
"22","42101019502",52,52,60,55,59,55,57,55.7142857142857
"23","42101021400",103,100,95,90,82,85,76,90.1428571428571
"24","42101024200",57,57,56,55,46,50,49,52.8571428571429
"25","42101025500",70,66,83,82,72,77,75,75
"26","42101027402",61,59,62,72,63,68,65,64.2857142857143
"27","42101028600",61,56,51,51,63,64,66,58.8571428571429
"28","42101030501",73,81,78,73,64,68,74,73
"29","42101033500",87,84,89,88,80,83,80,84.4285714285714
"30","42101034000",88,83,78,77,96,84,93,85.5714285714286
"31","42101034900",115,114,109,104,94,99,93,104
"32","42101035900",111,110,124,120,126,120,116,118.142857142857
"33","42101012201",59,79,77,72,62,67,62,68.2857142857143
"34","42101000401",13,13,13,13,13,13,13,13
"35","42101016200",41,39,42,43,45,48,45,43.2857142857143
"36","42101012502",27,29,31,28,28,27,28,28.2857142857143
"37","42101013701",55,55,55,65,58,61,56,57.8571428571429
"38","42091203701",148,143,138,133,123,128,153,138
"39","42045980100",84,79,74,73,83,85,89,81
"40","42029980000",118,148,146,141,131,136,121,134.428571428571
"41","42029302806",116,111,106,104,131,134,121,117.571428571429
"42","42045406401",140,135,134,133,123,128,145,134
"43","42017100807",127,122,121,159,150,155,132,138
"44","42029300700",156,155,169,165,155,160,161,160.142857142857
"45","42091205906",106,101,100,140,131,136,111,117.857142857143
"46","42091203801",148,143,138,133,123,128,153,138
"47","42091204300",61,66,65,61,75,71,61,65.7142857142857
"48","42091205501",116,111,106,103,107,109,117,109.857142857143
"49","42091201704",169,164,159,154,144,149,174,159
"50","42091206104",156,151,146,141,131,136,161,146
"51","42091203901",115,111,106,101,93,96,93,102.142857142857
"52","42091203804",148,143,138,133,123,128,153,138
"53","42045400302",65,70,66,65,66,70,66,66.8571428571429
"54","42045403800",100,100,135,130,120,125,105,116.428571428571
"55","42045400301",54,60,58,53,50,50,57,54.5714285714286
"56","42045403200",92,87,82,82,99,104,95,91.5714285714286
"57","42045408900",65,79,74,69,59,64,65,67.8571428571429
"58","42045400801",76,76,82,77,82,76,80,78.4285714285714
"59","42045401700",65,63,61,65,67,70,66,65.2857142857143
"60","42045404900",100,97,117,115,109,112,105,107.857142857143
"61","42101030900",68,82,77,73,64,68,68,71.4285714285714
"62","42101031502",79,75,81,80,76,76,80,78.1428571428571
"63","42101032000",71,69,75,72,76,70,74,72.4285714285714
"64","42101032900",80,86,85,85,90,95,84,86.4285714285714
"65","42101036501",96,102,101,96,122,92,100,101.285714285714
"66","42101001201",42,39,36,37,38,40,47,39.8571428571429
"67","42101002100",30,29,41,38,32,33,35,34
"68","42101002801",37,32,27,27,39,43,40,35
"69","42101003701",42,41,38,38,44,44,39,40.8571428571429
"70","42101035301",98,108,105,100,90,95,100,99.4285714285714
"71","42101006400",58,62,60,58,60,63,60,60.1428571428571
"72","42101006700",42,41,46,42,46,42,45,43.4285714285714
"73","42101007300",50,53,52,50,52,53,52,51.7142857142857
"74","42101008200",46,56,56,53,51,50,49,51.5714285714286
"75","42101008602",41,41,41,42,40,41,41,41
"76","42101009600",51,47,45,51,51,52,51,49.7142857142857
"77","42101013500",40,38,40,41,38,39,41,39.5714285714286
"78","42101014700",29,33,33,28,33,27,30,30.4285714285714
"79","42101037700",52,48,52,55,49,50,49,50.7142857142857
"80","42101016901",52,49,57,56,62,61,53,55.7142857142857
"81","42101019501",52,50,58,55,48,50,55,52.5714285714286
"82","42101020400",45,44,45,44,44,45,44,44.4285714285714
"83","42101021300",46,59,58,56,50,53,50,53.1428571428571
"84","42101038700",97,95,121,118,108,113,102,107.714285714286
"85","42101023900",68,66,83,82,72,77,73,74.4285714285714
"86","42101024800",45,53,51,46,51,43,48,48.1428571428571
"87","42101025700",97,92,87,83,91,87,102,91.2857142857143
"88","42101026302",70,65,63,62,59,60,71,64.2857142857143
"89","42101026700",66,65,60,56,63,60,49,59.8571428571429
"90","42101027600",48,48,47,48,49,47,49,48
"91","42101028100",49,50,49,50,48,49,50,49.2857142857143
"92","42101029800",71,66,62,65,70,75,65,67.7142857142857
"93","42091203204",148,143,138,133,123,128,126,134.142857142857
"94","42091202401",111,110,105,100,91,95,85,99.5714285714286
"95","42101000803",30,25,22,32,28,32,32,28.7142857142857
"96","42101980800",84,79,74,69,89,67,87,78.4285714285714
"97","42101010600",42,40,37,39,37,40,37,38.8571428571429
"98","42101014500",33,33,34,34,31,32,36,33.2857142857143
"99","42101028500",57,56,51,50,57,56,49,53.7142857142857
"100","42101013601",42,39,38,36,37,33,43,38.2857142857143
"101","42045400900",72,71,68,74,68,72,66,70.1428571428571
"102","42101016002",55,54,52,50,62,64,60,56.7142857142857
"103","42101036901",40,35,32,34,35,35,35,35.1428571428571
"104","42101013702",41,37,36,36,35,35,38,36.8571428571429
"105","42101000101",25,23,25,25,24,23,25,24.2857142857143
"106","42101000404",14,14,14,14,14,14,14,14
"107","42101000805",30,30,30,29,31,29,30,29.8571428571429
"108","42091201706",79,76,102,100,90,95,84,89.4285714285714
"109","42017100803",175,173,NA,NA,NA,NA,NA,NA
"110","42017101605",136,131,126,121,159,118,141,133.142857142857
"111","42029300303",177,175,170,165,155,160,113,159.285714285714
"112","42091205401",132,127,122,117,107,112,137,122
"113","42045401503",76,71,68,90,86,88,81,80
"114","42101014800",30,38,33,28,36,28,30,31.8571428571429
"115","42101011300",44,41,47,45,47,42,46,44.5714285714286
"116","42101013401",31,34,32,31,31,31,32,31.7142857142857
"117","42101016702",40,38,38,38,39,37,42,38.8571428571429
"118","42101021200",67,63,61,58,54,55,54,58.8571428571429
"119","42101025900",75,74,69,65,76,73,67,71.2857142857143
"120","42101028800",43,42,60,61,54,59,48,52.4285714285714
"121","42101031800",68,69,67,69,70,75,69,69.5714285714286
"122","42045403101",84,80,75,74,71,72,69,75
"123","42045406500",148,145,177,175,165,170,153,161.857142857143
"124","42045405400",142,143,151,148,138,143,137,143.142857142857
"125","42045407700",140,135,130,125,115,120,145,130
"126","42101003100",33,39,38,36,42,37,35,37.1428571428571
"127","42101007200",55,54,54,55,54,54,54,54.2857142857143
"128","42101025600",97,92,88,96,90,95,98,93.7142857142857
"129","42101027000",63,63,74,73,63,68,62,66.5714285714286
"130","42101027700",70,65,60,55,62,54,71,62.4285714285714
"131","42101030100",65,73,69,64,60,61,63,65
"132","42101024100",47,49,50,51,45,50,48,48.5714285714286
"133","42045404400",90,121,120,115,105,110,90,107.285714285714
"134","42045402000",72,86,82,77,82,76,73,78.2857142857143
"135","42101000300",22,28,29,25,24,23,25,25.1428571428571
"136","42101009802",57,111,106,101,91,96,57,88.4285714285714
"137","42101016300",54,53,55,54,57,55,56,54.8571428571429
"138","42091201705",79,74,69,68,90,94,84,79.7142857142857
"139","42017101401",111,106,101,96,149,95,116,110.571428571429
"140","42091204103",130,128,123,118,108,113,113,119
"141","42101000102",42,46,45,42,43,40,44,43.1428571428571
"142","42101038301",64,72,69,64,70,62,66,66.7142857142857
"143","42101001203",30,29,34,35,32,33,33,32.2857142857143
"144","42101001002",31,35,31,32,33,35,30,32.4285714285714
"145","42101023500",70,69,86,82,72,77,75,75.8571428571429
"146","42101003702",37,33,38,39,33,35,41,36.5714285714286
"147","42101006600",40,36,41,40,41,36,41,39.2857142857143
"148","42101008801",31,31,32,29,32,29,31,30.7142857142857
"149","42101013100",35,41,37,37,38,43,36,38.1428571428571
"150","42101020300",38,37,36,36,36,37,35,36.4285714285714
"151","42101034100",88,83,78,73,92,70,92,82.2857142857143
"152","42101017602",54,62,60,55,60,52,57,57.1428571428571
"153","42091202402",85,83,78,73,63,68,59,72.7142857142857
"154","42091203104",133,128,123,118,108,113,134,122.428571428571
"155","42101015600",44,44,42,39,45,47,41,43.1428571428571
"156","42101031900",71,68,79,88,82,83,76,78.1428571428571
"157","42101000901",20,19,20,20,20,20,20,19.8571428571429
"158","42101003901",34,32,29,32,32,34,35,32.5714285714286
"159","42101008702",43,44,43,43,43,44,43,43.2857142857143
"160","42101020000",36,35,36,43,36,41,39,38
"161","42101025400",66,74,69,64,81,64,66,69.1428571428571
"162","42101018802",63,58,56,62,60,62,66,61
"163","42045403702",100,95,90,85,110,84,104,95.4285714285714
"164","42045402400",70,67,72,70,72,67,72,70
"165","42091203602",116,111,106,101,121,99,121,110.714285714286
"166","42091204007",133,128,123,120,110,115,138,123.857142857143
"167","42101000702",25,24,25,26,24,24,24,24.5714285714286
"168","42045400802",76,71,66,66,72,72,70,70.4285714285714
"169","42101001001",41,39,39,44,39,42,38,40.2857142857143
"170","42101021900",105,100,95,90,80,85,106,94.4285714285714
"171","42045403001",130,125,120,115,107,110,135,120.285714285714
"172","42045405100",132,137,135,130,123,125,135,131
"173","42045402200",92,91,97,93,87,88,97,92.1428571428571
"174","42045402600",67,63,62,66,67,71,63,65.5714285714286
"175","42101001101",25,29,29,27,28,28,25,27.2857142857143
"176","42101007900",43,41,39,44,39,41,39,40.8571428571429
"177","42101012000",72,70,69,73,74,74,69,71.5714285714286
"178","42101021700",71,70,92,90,80,85,73,80.1428571428571
"179","42101031402",64,70,69,65,70,71,68,68.1428571428571
"180","42091202000",87,82,77,73,66,68,90,77.5714285714286
"181","42091200307",79,79,126,121,111,116,84,102.285714285714
"182","42101016800",41,39,39,41,45,43,45,41.8571428571429
"183","42045402500",55,53,58,55,52,53,59,55
"184","42045401104",100,95,90,85,79,80,105,90.5714285714286
"185","42101010900",31,46,43,40,32,37,32,37.2857142857143
"186","42101026900",88,83,78,73,67,68,89,78
"187","42045401103",84,80,86,85,115,85,89,89.1428571428571
"188","42091205600",100,95,90,86,115,116,105,101
"189","42101001700",40,37,42,40,44,38,42,40.4285714285714
"190","42101002701",37,32,28,45,39,44,42,38.1428571428571
"191","42101007400",38,35,33,38,33,35,33,35
"192","42101016600",38,38,39,37,35,36,38,37.2857142857143
"193","42101017701",50,48,47,47,46,48,48,47.7142857142857
"194","42101019700",57,65,60,55,50,50,53,55.7142857142857
"195","42101025200",61,56,54,65,63,66,66,61.5714285714286
"196","42101018801",63,58,55,69,62,67,65,62.7142857142857
"197","42101001301",48,43,42,43,53,54,53,48
"198","42101029300",53,54,55,53,54,55,55,54.1428571428571
"199","42101031401",88,86,87,87,85,86,91,87.1428571428571
"200","42101033102",87,86,92,88,91,87,88,88.4285714285714
"201","42045410500",52,51,57,53,58,52,56,54.1428571428571
"202","42017100207",140,138,136,158,150,155,126,143.285714285714
"203","42017100208",119,116,130,128,148,126,124,127.285714285714
"204","42017100211",127,123,161,163,166,169,132,148.714285714286
"205","42017100600",172,167,163,160,NA,160,177,NA
"206","42017100403",175,172,NA,NA,NA,NA,NA,NA
"207","42091201302",133,128,123,118,108,113,137,122.857142857143
"208","42091201607",97,92,89,97,90,95,100,94.2857142857143
"209","42091200308",147,146,141,136,126,131,103,132.857142857143
"210","42091200401",134,131,126,121,111,116,87,118
"211","42091203902",133,128,123,119,123,124,134,126.285714285714
"212","42091206400",148,143,142,NA,179,NA,153,NA
"213","42045403901",100,95,90,89,120,124,105,103.285714285714
"214","42045404700",108,103,102,114,110,112,113,108.857142857143
"215","42045410601",87,122,120,115,105,110,90,107
"216","42045404004",130,125,120,115,105,110,135,120
"217","42045406700",163,158,153,148,138,143,168,153
"218","42045405300",131,136,137,145,138,143,135,137.857142857143
"219","42045403401",130,125,120,115,105,110,133,119.714285714286
"220","42045402800",130,125,120,115,105,110,135,120
"221","42045404103",100,95,90,87,111,113,105,100.142857142857
"222","42045408800",84,79,74,69,87,65,85,77.5714285714286
"223","42045408700",84,79,76,98,91,96,89,87.5714285714286
"224","42045402100",55,56,53,48,53,48,50,51.8571428571429
"225","42045407901",140,135,130,125,115,120,145,130
"226","42045407401",105,103,98,93,85,88,83,93.5714285714286
"227","42045408103",141,171,170,165,155,160,145,158.142857142857
"228","42045404003",140,135,130,125,115,120,144,129.857142857143
"229","42045400401",64,63,61,59,57,59,55,59.7142857142857
"230","42045404600",134,134,130,125,115,120,110,124
"231","42101002500",32,47,45,43,39,42,33,40.1428571428571
"232","42101003002",37,33,32,37,42,40,42,37.5714285714286
"233","42101003600",41,49,45,40,46,38,42,43
"234","42101004202",37,32,31,47,43,44,42,39.4285714285714
"235","42101006000",69,67,66,71,66,67,62,66.8571428571429
"236","42101007000",40,36,41,40,41,36,41,39.2857142857143
"237","42101008101",45,45,47,45,47,45,47,45.8571428571429
"238","42101008500",38,44,42,39,43,45,41,41.7142857142857
"239","42101009400",31,37,34,32,35,38,33,34.2857142857143
"240","42101009801",56,62,58,57,91,95,57,68
"241","42101010200",33,39,34,34,35,40,33,35.4285714285714
"242","42101010700",43,40,38,41,38,40,38,39.7142857142857
"243","42101011200",42,39,37,43,38,40,36,39.2857142857143
"244","42101011400",52,52,61,60,55,55,54,55.5714285714286
"245","42101011800",56,55,54,55,56,53,53,54.5714285714286
"246","42101013402",28,35,30,28,27,30,27,29.2857142857143
"247","42101013800",48,47,42,42,45,50,48,46
"248","42101014600",34,34,35,34,32,32,35,33.7142857142857
"249","42101016100",55,50,49,48,60,46,58,52.2857142857143
"250","42101016902",52,47,47,55,50,50,53,50.5714285714286
"251","42101017100",43,43,49,50,48,49,47,47
"252","42101038200",70,65,60,56,66,63,72,64.5714285714286
"253","42101019200",69,65,61,60,63,67,64,64.1428571428571
"254","42101020102",43,40,44,46,42,43,45,43.2857142857143
"255","42101020900",48,61,58,55,50,53,50,53.5714285714286
"256","42101038400",132,130,125,120,110,115,82,116.285714285714
"257","42101023800",66,65,60,56,69,66,66,64
"258","42101024900",70,65,60,57,72,74,71,67
"259","42101025300",61,56,54,62,54,59,64,58.5714285714286
"260","42101026600",77,74,69,64,88,62,77,73
"261","42101027500",61,56,56,64,63,66,63,61.2857142857143
"262","42101028000",61,56,54,60,65,61,63,60
"263","42101029000",61,59,58,57,62,60,64,60.1428571428571
"264","42101029900",58,67,67,64,68,62,60,63.7142857142857
"265","42101030800",75,82,80,85,78,83,76,79.8571428571429
"266","42101031102",83,87,93,88,79,83,77,84.2857142857143
"267","42101032500",79,74,73,79,70,75,83,76.1428571428571
"268","42101033000",80,86,85,82,90,85,84,84.5714285714286
"269","42101033701",71,69,83,80,73,75,76,75.2857142857143
"270","42101033800",88,88,95,91,86,86,93,89.5714285714286
"271","42101035200",101,98,96,102,97,99,95,98.2857142857143
"272","42101036100",101,101,142,139,129,134,103,121.285714285714
"273","42101036400",98,104,101,99,102,105,100,101.285714285714
"274","42101001600",40,38,43,40,41,39,43,40.5714285714286
"275","42101980500",50,51,50,51,50,50,51,50.4285714285714
"276","42101980100",72,70,65,60,52,55,52,60.8571428571429
"277","42101980600",36,37,37,36,36,37,37,36.5714285714286
"278","42101023100",83,91,87,86,81,85,84,85.2857142857143
"279","42101011700",48,54,50,49,51,55,49,50.8571428571429
